iteration,steps,time_consumed
3,2,0.0
5,3,0.0009992122650146484
17,4,0.001983642578125
37,5,0.0020051002502441406
37,5,0.0010297298431396484
34,5,0.0009868144989013672
70,6,0.0019953250885009766
69,6,0.0020051002502441406
68,7,0.002981901168823242
77,7,0.0019969940185546875
102,7,0.002017498016357422
2489,14,0.028101682662963867
230,8,0.003998517990112305
138,8,0.002886056900024414
155,8,0.0030059814453125
178,8,0.003122091293334961
2071,13,0.02300715446472168
315,9,0.004999876022338867
364,9,0.006971120834350586
324,9,0.006086587905883789
226,9,0.004916191101074219
213,9,0.003023862838745117
308,9,0.005005598068237305
7684,16,0.07810544967651367
5064,16,0.04887676239013672
457,10,0.0060007572174072266
386,10,0.004997968673706055
523,11,0.00700068473815918
10545,17,0.09701204299926758
10536,17,0.10099983215332031
779,11,0.010000467300415039
826,11,0.010002613067626953
617,11,0.01210165023803711
814,11,0.011904239654541016
880,11,0.011003971099853516
758,11,0.010127782821655273
755,11,0.0118865966796875
1006,11,0.01197957992553711
573,11,0.00597834587097168
965,11,0.015025615692138672
808,11,0.010997533798217773
378944,29,3.8101446628570557
121310,24,1.2689220905303955
93232,23,0.9921278953552246
41898,21,0.43848323822021484
219931,26,2.0299346446990967
253931,26,2.2748072147369385
56701,21,0.6111776828765869
388315,29,3.3206253051757812
23226,19,0.2680182456970215
444591,31,4.421121120452881
91335,23,1.0296962261199951
333837,28,3.357957124710083
47955,21,0.5359690189361572
178052,25,1.9102954864501953
188310,25,1.9962735176086426
158063,24,1.7665112018585205
380944,29,3.8213205337524414
352037,28,3.414576768875122
396097,29,3.7714293003082275
80328,22,0.7829558849334717
122714,23,1.3242826461791992
26651,19,0.23798847198486328
240118,26,2.432506561279297
27407,19,0.3300905227661133
70484,22,0.7185831069946289
348334,28,3.347111940383911
114252,23,1.204313039779663
332763,28,3.4041407108306885
2865,14,0.029016733169555664
67402,22,0.6961853504180908
194362,25,1.979008674621582
232223,26,2.3187108039855957
42593,21,0.4539966583251953
440367,31,4.150189638137817
340902,28,3.472691059112549
427014,30,4.03229022026062
4421,15,0.04699969291687012
308212,27,3.154257297515869
200193,25,2.1030352115631104
169631,25,1.777745246887207
262040,26,2.8312652111053467
86033,23,0.8612499237060547
183698,25,1.9260358810424805
216439,25,2.376889944076538
158622,24,1.5902280807495117
202197,25,2.1061313152313232
159396,24,1.7137489318847656
126217,23,1.302699089050293
150203,24,1.6611459255218506
206210,25,2.3152177333831787
321220,27,3.287303924560547
294462,27,2.8253014087677
281818,27,2.6373655796051025
338405,28,2.559722900390625
8406,16,0.09125185012817383
327345,28,1.7236030101776123
45551,21,0.2744297981262207
436687,31,2.1639678478240967
302426,27,1.8349509239196777
180739,25,1.424452543258667
112136,23,0.8681485652923584
298459,27,2.206233501434326
165186,25,1.2630460262298584
19439,18,0.1109917163848877
390009,29,2.958400249481201
200208,25,2.0875542163848877
7659,17,0.07301568984985352
79850,22,0.9703736305236816
278828,27,2.919403076171875
445396,31,4.209508657455444
224141,26,2.2599551677703857
270633,26,2.753970146179199
196391,25,2.220012903213501
170677,25,1.7289719581604004
33468,20,0.377331018447876
286407,27,2.8977084159851074
441523,31,4.08668851852417
45678,21,0.4829089641571045
4293,15,0.04297995567321777
82641,22,0.9176809787750244
363756,28,3.5060112476348877
125050,23,1.414088487625122
195789,25,2.041872978210449
134212,24,1.3699724674224854
371060,28,3.629669189453125
447105,31,4.035988807678223
189289,25,1.9640848636627197
141618,24,1.5358636379241943
48979,21,0.5430023670196533
6388,16,0.062003135681152344
245450,26,2.6543874740600586
398384,29,3.7894694805145264
435269,31,4.031532049179077
293870,27,3.139761209487915
300456,27,3.0569708347320557
188075,25,1.9527952671051025
123741,23,1.293304681777954
109878,23,1.1200268268585205
120436,24,1.2180721759796143
13621,18,0.12009835243225098
441608,31,4.064565181732178
177390,25,1.860365390777588
267786,27,2.7426977157592773
144981,24,1.4747991561889648
416563,30,3.8501968383789062
10337,17,0.17407846450805664
34198,20,0.3020172119140625
47753,21,0.5019960403442383
23576,19,0.3182947635650635
100413,23,1.0572373867034912
268403,26,2.7195866107940674
369503,29,3.447521448135376
71233,22,0.6949911117553711
97717,23,1.0298411846160889
42980,20,0.45299601554870605
87183,22,0.9438700675964355
214260,26,2.1393258571624756
76769,22,0.8899624347686768
205154,25,2.165781259536743
168155,24,1.725867509841919
162966,25,1.709721326828003
287684,27,2.8792200088500977
209636,25,2.0584139823913574
387819,29,3.819615364074707
336355,28,3.4172792434692383
289132,27,3.0407819747924805
249344,26,2.498243570327759
372988,29,3.78808331489563
312033,28,3.218069553375244
131373,24,1.3719699382781982
137056,24,1.4214670658111572
105521,23,1.1577649116516113
46632,21,0.521808385848999
89640,23,1.0051484107971191
239707,26,2.5685975551605225
77968,22,0.7806286811828613
7701,16,0.07351303100585938
353678,28,3.726564407348633
36975,20,0.3328831195831299
117052,23,1.2249889373779297
367874,29,3.722656011581421
140052,24,1.4347105026245117
51580,21,0.5540065765380859
247800,26,2.614121198654175
268114,27,3.0305137634277344
189031,25,2.0451393127441406
125713,23,1.293900489807129
269486,27,2.7042322158813477
102795,23,1.0044033527374268
54868,21,0.5329787731170654
132792,23,1.3290081024169922
93127,23,0.7890002727508545
252430,26,2.4863221645355225
48930,21,0.47168564796447754
312368,27,2.743063449859619
282126,27,1.718470573425293
434550,30,2.2869036197662354
114166,24,0.7118237018585205
123790,24,0.7669799327850342
185826,25,1.439448356628418
28782,19,0.24593520164489746
214452,25,1.6003952026367188
316563,27,2.6245670318603516
309552,27,3.1166820526123047
270489,26,2.771293878555298
345227,28,3.3407368659973145
76697,22,0.8600351810455322
261928,26,2.77028489112854
27984,20,0.2591116428375244
191225,25,1.9532620906829834
80489,22,0.8942139148712158
56485,21,0.5993139743804932
164009,25,1.7331619262695312
255401,26,2.683673620223999
92641,23,1.0342693328857422
391873,29,3.7885220050811768
204164,26,2.0903356075286865
1225,13,0.014992237091064453
291800,27,3.045466184616089
215453,25,2.377814531326294
146727,24,1.4934110641479492
128771,24,1.429145336151123
50720,21,0.5371143817901611
421182,30,3.8153021335601807
301729,27,2.929973840713501
191402,25,1.9351963996887207
114750,23,1.1491410732269287
135730,24,1.4470951557159424
300166,27,2.978311061859131
60870,21,0.6199369430541992
305785,27,2.953322649002075
121363,23,1.35555100440979
163817,24,1.5225236415863037
124809,24,1.2151005268096924
400912,29,3.5868523120880127
9964,17,0.0939779281616211
53995,21,0.556023120880127
80877,22,0.8749985694885254
212383,25,2.2768874168395996
110513,23,1.2261161804199219
85807,22,0.8686249256134033
296567,27,3.0817694664001465
399580,29,4.0265727043151855
114140,24,1.206251621246338
373636,29,3.607095241546631
27691,19,0.3470003604888916
119396,23,1.265897274017334
139039,24,1.411508560180664
69286,22,0.8113055229187012
308379,27,3.1198153495788574
297500,27,3.0486786365509033
294116,27,3.007932424545288
419553,30,3.885458469390869
113767,23,1.324970006942749
438577,30,4.157257318496704
228482,26,2.3657257556915283
391040,29,3.9004414081573486
31822,20,0.2819864749908447
60446,21,0.712028980255127
122649,23,1.2659940719604492
57653,21,0.5946049690246582
156670,25,1.6552653312683105
20186,19,0.1809079647064209
261274,27,2.621950149536133
353812,28,3.400327444076538
401362,29,3.8759090900421143
113978,23,1.2436797618865967
261004,27,2.552337646484375
342802,28,3.2441818714141846
201961,25,2.152773141860962
116141,24,1.230515718460083
183917,25,1.983609914779663
189349,25,1.9779930114746094
198687,25,2.051161527633667
243128,26,2.5166850090026855
364826,29,3.48095703125
295492,27,2.886579751968384
132767,24,1.4410123825073242
150473,24,1.4840750694274902
52044,21,0.5452671051025391
141407,24,1.510977029800415
71002,22,0.70717453956604
252868,26,2.540679931640625
117080,24,1.1962695121765137
30564,19,0.36118650436401367
353310,28,3.389232873916626
210814,25,2.2453713417053223
395710,29,3.712993621826172
460653,32,4.235183954238892
116262,23,1.1742119789123535
57238,21,0.687199592590332
34596,20,0.31599950790405273
235985,26,2.45159912109375
310836,28,3.0472779273986816
20056,18,0.17915725708007812
376630,29,3.714465618133545
372123,28,3.5326778888702393
25056,19,0.30319690704345703
402130,29,3.779209852218628
