iteration,steps,time_consumed
2,2,0.0011463165283203125
3,3,0.0008387565612792969
4,4,0.0009999275207519531
5,5,0.0009975433349609375
5,5,0.0010004043579101562
5,5,0.001009225845336914
6,6,0.0009911060333251953
6,6,0.0009996891021728516
7,7,0.0
7,7,0.002002716064453125
7,7,0.000997781753540039
85,14,0.0020012855529785156
8,8,0.00099945068359375
8,8,0.0009992122650146484
8,8,0.0009996891021728516
15,8,0.0010001659393310547
82,13,0.0030019283294677734
9,9,0.0020051002502441406
9,9,0.0009944438934326172
9,9,0.0009989738464355469
15,9,0.0010001659393310547
9,9,0.0009996891021728516
9,9,0.0009999275207519531
150,16,0.003000020980834961
136,16,0.003000974655151367
20,10,0.0010211467742919922
10,10,0.001979351043701172
11,11,0.0019981861114501953
87,17,0.006007194519042969
211,17,0.0069980621337890625
12,11,0.00299835205078125
14,11,0.0030078887939453125
15,11,0.0039577484130859375
11,11,0.002007722854614258
11,11,0.0010001659393310547
12,11,0.002001047134399414
19,11,0.001998424530029297
21,11,0.0030012130737304688
25,11,0.003003835678100586
34,11,0.001999378204345703
14,11,0.001997232437133789
3591,29,0.03899860382080078
207,24,0.007999897003173828
1162,23,0.014003276824951172
613,21,0.006998538970947266
2033,26,0.026051998138427734
1699,26,0.01999497413635254
167,21,0.004000663757324219
3045,29,0.035004615783691406
256,19,0.0049936771392822266
7603,31,0.12882590293884277
1602,23,0.017965078353881836
2500,28,0.028714418411254883
78,21,0.004000425338745117
1238,25,0.017001867294311523
1521,25,0.01999974250793457
3403,24,0.03505253791809082
3122,29,0.03694558143615723
2037,28,0.029003381729125977
3863,29,0.04199981689453125
1191,22,0.01399683952331543
612,23,0.009999990463256836
139,19,0.003000020980834961
1335,26,0.015999794006347656
405,19,0.01400613784790039
592,22,0.012000799179077148
5350,28,0.06998586654663086
304,23,0.004996776580810547
3748,28,0.04200315475463867
88,14,0.001999378204345703
448,22,0.006998300552368164
593,25,0.009001493453979492
1355,26,0.01705193519592285
641,21,0.007985115051269531
12546,31,0.12825655937194824
4867,28,0.05489397048950195
5930,30,0.1510481834411621
83,15,0.0029745101928710938
2089,27,0.025940418243408203
1884,25,0.024010181427001953
547,25,0.007998466491699219
